Name,RushAtt,RushYds,RushTds,Targets,Receptions,RecYds,RecTds,TotTD,TotTouch,FPPG,FP
Dare Ogunbowale,8,35,0,7,2,18,0,0,10,0.8,8.3
Michael Burton,7,9,0,3,3,8,0,0,10,0.2,3.7
Hunter Luepke,6,19,1,4,3,18,0,1,9,0.6,9.7
Zach Evans,9,19,0,0,0,0,0,0,9,0.5,1.9
Ty Montgomery II,3,9,0,12,5,40,0,0,8,0.4,4.9
C.J. Ham,1,7,0,9,7,25,0,0,8,0.2,3.2
Tyrion Davis-Price,6,21,0,0,0,0,0,0,6,2.1,2.1
Elijah Dotson,4,6,0,2,2,13,0,0,6,0.5,1.9
Patrick Ricard,0,0,0,7,5,52,1,1,5,0.7,11.2
Nick Bawden,2,4,1,3,3,21,0,1,5,0.5,8.5
Kene Nwangwu,5,13,0,0,0,0,0,0,5,0.2,1.3
Brandon Bolden,4,31,1,0,0,0,0,1,4,2.2,11.1
Zonovan Knight,3,13,0,1,1,8,0,0,4,1.1,2.1
Devine Ozigbo,3,5,0,1,1,8,0,0,4,0.7,1.3
Jashaun Corbin,1,1,0,3,3,12,0,0,4,0.4,1.3
Kenyan Drake,2,0,0,3,2,31,0,0,4,0.4,1.1
Adam Prentice,2,12,0,3,2,12,0,0,4,0.0,0.4
Keith Smith,0,0,0,3,3,33,0,0,3,0.3,3.3
Derrick Gore,3,26,0,0,0,0,0,0,3,0.5,2.6
Jake Funk,2,10,0,1,1,12,0,0,3,2.2,2.2
Alex Armah Jr.,0,0,0,3,3,13,0,0,3,0.2,1.3
Jonathan Ward,3,11,0,0,0,0,0,0,3,0.2,1.1
Chris Evans,2,12,0,1,1,-1,0,0,3,0.2,1.1
Anthony McFarland Jr.,0,0,0,2,2,11,0,0,2,0.4,1.1
Evan Hull,1,1,0,1,1,6,0,0,2,0.7,0.7
James Robinson,1,2,0,1,1,-2,0,0,2,0.0,0.0
Jacob Johnson,0,0,0,2,1,12,0,0,1,0.1,1.2
Reggie Gilliam,0,0,0,1,1,3,0,0,1,0.0,0.3
Jason Cabinda,1,0,0,0,0,0,0,0,1,0.0,0.0
Jonathan Williams,1,-2,0,1,0,0,0,0,1,-0.2,-0.2
J.J. Taylor,0,0,0,0,0,0,0,0,0,0.0,0.0
Kirk Merritt,0,0,0,0,0,0,0,0,0,0.0,0.0
JaMycal Hasty,0,0,0,2,0,0,0,0,0,0.0,0.0
Mike Weber,0,0,0,0,0,0,0,0,0,0.0,0.0
Travis Homer,0,0,0,1,0,0,0,0,0,0.0,0.0
Austin Walter,0,0,0,0,0,0,0,0,0,0.0,0.0
Jermar Jefferson,0,0,0,0,0,0,0,0,0,0.0,0.0
Demetric Felton Jr.,0,0,0,0,0,0,0,0,0,0.0,0.0
Elijah Collins,0,0,0,0,0,0,0,0,0,0.0,0.0
Jaret Patterson,0,0,0,0,0,0,0,0,0,0.0,0.0
Mohamed Ibrahim,0,0,0,0,0,0,0,0,0,0.0,0.0
Xazavian Valladay,0,0,0,0,0,0,0,0,0,0.0,0.0
Trey Benson,0,0,0,0,0,0,0,0,0,0.0,0.0
Kenny McIntosh,0,0,0,0,0,0,0,0,0,0.0,0.0
Dylan McDuffie,0,0,0,0,0,0,0,0,0,0.0,0.0
DeWayne McBride,0,0,0,0,0,0,0,0,0,0.0,0.0
Lew Nichols III,0,0,0,0,0,0,0,0,0,0.0,0.0
Jack Colletto,0,0,0,0,0,0,0,0,0,0.0,0.0
SaRodorick Thompson Jr.,0,0,0,0,0,0,0,0,0,0.0,0.0
Derek Parish,0,0,0,0,0,0,0,0,0,0.0,0.0
Jabari Small,0,0,0,0,0,0,0,0,0,0.0,0.0
Brittain Brown,0,0,0,0,0,0,0,0,0,0.0,0.0
Troy Hairston II,0,0,0,0,0,0,0,0,0,0.0,0.0
Aaron Shampklin,0,0,0,0,0,0,0,0,0,0.0,0.0
Tyreik McAllister,0,0,0,0,0,0,0,0,0,0.0,0.0
Julius Chestnut,0,0,0,0,0,0,0,0,0,0.0,0.0
Carlos Washington Jr.,0,0,0,0,0,0,0,0,0,0.0,0.0
Braelon Allen,0,0,0,0,0,0,0,0,0,0.0,0.0
Jaden Shirden,0,0,0,0,0,0,0,0,0,0.0,0.0
Louis Rees-Zammit,0,0,0,0,0,0,0,0,0,0.0,0.0
Aidan Robbins,0,0,0,0,0,0,0,0,0,0.0,0.0
Austin Jones,0,0,0,0,0,0,0,0,0,0.0,0.0
