Rank,Name,Recs,Targets,RecYds,RecTds,Targets/game,FPPG,FP
157,Mike Strachan,1,3,45,0,0,1.1,4.5
158,Erik Ezukanma,0,1,0,0,0,1.1,2.2
159,John Metchie III,16,30,158,0,1,1,16.2
160,Donovan Peoples-Jones,13,25,155,0,1,1,15.5
161,Richie James Jr.,10,14,114,0,0,1,9.4
162,Trent Sherfield Sr.,11,22,86,1,1,0.9,14.6
163,Byron Pringle,14,22,161,0,1,0.9,14.1
164,Xavier Hutchinson,8,19,90,0,1,0.9,13.9
165,Parris Campbell,20,27,104,0,1,0.9,10.4
166,Chris Conley,3,6,69,0,0,0.9,6.9
167,Jalen Brooks,6,6,64,0,0,0.9,6.4
168,Equanimeous St. Brown,5,6,62,0,0,0.9,6.2
169,Steven Sims Jr.,3,3,25,0,0,0.9,2.6
170,Ben Skowronek,8,12,66,1,0,0.8,13.5
171,Lynn Bowden Jr.,11,16,83,0,0,0.8,11.5
172,Marquise Goodwin,4,13,67,0,0,0.8,10
173,Tylan Wallace,1,2,11,0,0,0.8,7.1
174,Sterling Shepard,10,22,57,1,1,0.7,10.3
175,Samori Toure,8,18,78,0,1,0.7,7.8
176,Keith Kirkwood,5,9,37,1,0,0.7,9.7
177,Keelan Doss,6,13,33,0,0,0.7,3.3
178,Rakim Jarrett,4,9,60,0,0,0.6,6
179,Tim Jones,11,18,83,0,1,0.5,8.3
180,Velus Jones Jr.,4,7,20,0,0,0.5,7.1
181,Justyn Ross,6,11,53,0,0,0.5,5.3
182,Trishton Jackson,2,4,9,0,0,0.5,2.9
183,Jalen Nailor,3,6,29,0,0,0.5,2.9
184,Isaiah McKenzie,11,14,82,0,0,0.4,5.6
185,Elijah Cooks,3,4,38,0,0,0.4,3.8
186,Kayshon Boutte,2,7,19,0,0,0.4,1.9
187,Laquon Treadwell,1,3,16,0,0,0.4,1.6
188,Willie Snead IV,2,3,14,0,0,0.4,1.4
189,Malik Taylor,2,4,13,0,0,0.4,1.3
190,Collin Johnson,1,1,11,0,0,0.4,1.1
191,DeAndre Carter,4,7,39,0,0,0.3,5.7
192,Britain Covey,4,6,42,0,0,0.3,4.2
193,Devin Duvernay,4,9,18,0,0,0.3,3.3
194,Marvin Jones Jr.,5,10,35,0,0,0.3,1.5
195,Gunner Olszewski,1,1,0,0,0,0.2,2
196,Cody Thompson,1,1,10,0,0,0.2,1
197,Kwamie Lassiter II,1,1,2,0,0,0.2,0.2
198,Zach Pascal,4,15,19,0,0,0.1,1.9
199,Miles Boykin,3,4,17,0,0,0.1,1.7
200,Austin Trammell,4,7,29,0,0,0.1,0.9
201,Mason Kinsey,1,1,6,0,0,0.1,0.6
202,Dee Eskridge,0,1,0,0,0,0.1,0.5
203,Colton Dowell,1,2,3,0,0,0,0.3
204,Antoine Green,1,2,2,0,0,0,0.2
205,Tom Kennedy,0,0,0,0,0,0,0
206,KJ Hamler,0,0,0,0,0,0,0
207,Cody White,0,0,0,0,0,0,0
208,Freddie Swain,0,0,0,0,0,0,0
209,Austin Mack,0,0,0,0,0,0,0
210,Tyrie Cleveland,0,0,0,0,0,0,0
211,Marquez Callaway,0,0,0,0,0,0,0
212,Easop Winston Jr.,0,0,0,0,0,0,0
213,Denzel Mims,0,0,0,0,0,0,0
214,Davion Davis,0,0,0,0,0,0,0
215,Stanley Morgan Jr.,0,0,0,0,0,0,0
216,David Sills,0,0,0,0,0,0,0
217,Andy Isabella,0,0,0,0,0,0,0
218,Ashton Dulin,0,0,0,0,0,0,0
219,Nsimba Webster,0,0,0,0,0,0,0
220,Tyron Billy-Johnson,0,0,0,0,0,0,0
221,Jeff Smith,0,0,0,0,0,0,0
222,Quinton Bell,0,0,0,0,0,0,0
223,Juwann Winfree,0,1,0,0,0,0,0
224,Kirk Merritt,0,0,0,0,0,0,0
225,Kristian Wilkerson,0,0,0,0,0,0,0
226,Jaylon Moore,0,0,0,0,0,0,0
227,Scotty Washington,0,0,0,0,0,0,0
228,Amari Rodgers,0,2,0,0,0,0,0
229,Anthony Schwartz,0,0,0,0,0,0,0
230,Seth Williams,0,0,0,0,0,0,0
231,Dez Fitzpatrick,0,0,0,0,0,0,0
232,Dan Chisena,0,0,0,0,0,0,0
233,Andre Baccellia,0,0,0,0,0,0,0
234,Zavier Scott,0,0,0,0,0,0,0
235,T.J. Luther,0,0,0,0,0,0,0
236,Nikko Remigio,0,0,0,0,0,0,0
237,Tyrell Shavers,0,0,0,0,0,0,0
238,Thyrick Pitts,0,0,0,0,0,0,0
239,Daniel Arias,0,0,0,0,0,0,0
240,Keilahn Harris,0,0,0,0,0,0,0
241,Shedrick Jackson,0,1,0,0,0,0,0
